onset	duration	trial_type	stimulus	stimulus_onset	stimulus_duration
11.515	18.5	BAT	slow_thick	10.015	1.5
31.516	18.5	BAT	fresh_green	30.015	1.501
51.516	18.501	BAT	dry_brown	50.016	1.5
71.517	18.5	BAT	fast_exciting	70.017	1.5
91.517	18.501	BAT	precious_hard	90.017	1.5
111.518	28.501	BAT	heavy_warm	110.018	1.5
141.519	18.5	DA	alley	140.019	1.5
161.519	18.501	DA	log	160.019	1.5
181.52	18.5	DA	seat	180.02	1.5
201.52	18.501	DA	coin	200.02	1.5
221.521	18.5	DA	fence	220.021	1.5
241.521	28.501	DA	branch	240.021	1.5
271.522	18.501	META	dog	270.022	1.5
291.523	18.5	META	wind	290.023	1.5
311.523	18.501	META	friend	310.023	1.5
331.524	18.501	META	sun	330.024	1.5
351.525	18.5	META	plant	350.025	1.5
371.525	28.501	META	pillow	370.025	1.5
401.526	18.5	CA	gum	400.026	1.5
421.526	18.501	CA	ladder	420.026	1.5
441.527	18.501	CA	mail	440.027	1.5
461.528	18.5	CA	screen	460.028	1.5
481.528	18.501	CA	robot	480.028	1.5
501.512	28.501	CA	train	500.029	1.483
531.513	18.5	AUT	knife	530.013	1.5
551.514	18.5	AUT	broom	550.013	1.501
571.514	18.501	AUT	pencil	570.014	1.5
591.515	18.5	AUT	lighter	590.015	1.5
611.515	18.501	AUT	purse	610.015	1.5
