onset	duration	trial_type	stimulus	stimulus_onset	stimulus_duration
11.519	18.5	AUT	candle	10.019	1.5
31.519	18.501	AUT	bucket	30.019	1.5
51.52	18.5	AUT	pillow	50.02	1.5
71.52	18.501	AUT	fork	70.02	1.5
91.521	18.5	AUT	brick	90.021	1.5
111.521	28.501	AUT	lamp	110.021	1.5
141.522	18.501	META	picture	140.022	1.5
161.523	18.5	META	swimmer	160.023	1.5
181.523	18.501	META	hat	180.023	1.5
201.524	18.5	META	bread	200.024	1.5
221.524	18.501	META	star	220.024	1.5
241.525	28.501	META	room	240.025	1.5
271.526	18.5	DA	grass	270.026	1.5
291.526	18.501	DA	sword	290.026	1.5
311.527	18.5	DA	glove	310.027	1.5
331.527	18.501	DA	statue	330.027	1.5
351.528	18.5	DA	palace	350.028	1.5
371.528	28.485	DA	subway	370.028	1.5
401.513	18.5	BAT	big_open	400.013	1.5
421.513	18.501	BAT	sweet_soft	420.013	1.5
441.514	18.5	BAT	round_white	440.014	1.5
461.514	18.501	BAT	liquid_healthy	460.014	1.5
481.515	18.5	BAT	small_wet	480.015	1.5
501.515	28.501	BAT	smooth_angular	500.015	1.5
531.516	18.501	CA	bench	530.016	1.5
551.517	18.5	CA	coat	550.017	1.5
571.517	18.501	CA	costume	570.017	1.5
591.518	18.5	CA	dock	590.018	1.5
611.518	18.501	CA	drum	610.018	1.5
