onset	duration	trial_type	stimulus	stimulus_onset	stimulus_duration
11.523	18.5	AUT	candle	10.023	1.5
31.523	18.501	AUT	bucket	30.023	1.5
51.524	18.5	AUT	pillow	50.024	1.5
71.524	18.501	AUT	fork	70.024	1.5
91.525	18.501	AUT	brick	90.025	1.5
111.526	28.5	AUT	lamp	110.026	1.5
141.526	18.501	META	picture	140.026	1.5
161.527	18.501	META	swimmer	160.027	1.5
181.528	18.5	META	hat	180.028	1.5
201.528	18.484	META	bread	200.028	1.5
221.529	18.484	META	star	220.012	1.517
241.513	28.5	META	room	240.013	1.5
271.513	18.501	DA	grass	270.013	1.5
291.514	18.501	DA	sword	290.014	1.5
311.515	18.5	DA	glove	310.015	1.5
331.515	18.501	DA	statue	330.015	1.5
351.516	18.5	DA	palace	350.016	1.5
371.516	28.501	DA	subway	370.016	1.5
401.517	18.501	BAT	big_open	400.017	1.5
421.518	18.5	BAT	sweet_soft	420.018	1.5
441.518	18.501	BAT	round_white	440.018	1.5
461.519	18.5	BAT	liquid_healthy	460.019	1.5
481.519	18.501	BAT	small_wet	480.019	1.5
501.52	28.501	BAT	smooth_angular	500.02	1.5
531.521	18.5	CA	bench	530.021	1.5
551.521	18.501	CA	coat	550.021	1.5
571.522	18.5	CA	costume	570.022	1.5
591.522	18.501	CA	dock	590.022	1.5
611.523	18.501	CA	drum	610.023	1.5
